first_name,last_name,student_id,email
Cassie,Freeman,cfree10,cfree10@uwaterloo.ca
Shaun,Goodman,sgood4,sgood4@uwaterloo.ca
Kristen,Bray,kbray5,kbray5@uwaterloo.ca
Mohammad,Herman,mherm2,mherm2@uwaterloo.ca
Janette,Salas,jsala4,jsala4@uwaterloo.ca
Willy,Mitchell,wmitc5,wmitc5@uwaterloo.ca
Ruth,Griffin,rgrif8,rgrif8@uwaterloo.ca
Dennis,Best,dbest4,dbest4@uwaterloo.ca
Hung,Vance,hvanc2,hvanc2@uwaterloo.ca
Aurelio,Jones,ajone1,ajone1@uwaterloo.ca
Mack,Giles,mgile3,mgile3@uwaterloo.ca
Wilford,Clements,wclem9,wclem9@uwaterloo.ca
Laurence,Mccormick,lmcco4,lmcco4@uwaterloo.ca
Neil,Schmidt,nschm3,nschm3@uwaterloo.ca
Mildred,Hale,mhale2,mhale2@uwaterloo.ca
Claudio,Carlson,ccarl8,ccarl8@uwaterloo.ca
Micheal,Hogan,mhoga10,mhoga10@uwaterloo.ca
Laverne,Flynn,lflyn4,lflyn4@uwaterloo.ca
Abdul,Pitts,apitt4,apitt4@uwaterloo.ca
Bud,Howell,bhowe6,bhowe6@uwaterloo.ca
Benjamin,Rhodes,brhod3,brhod3@uwaterloo.ca
Shelia,Mcfarland,smcfa7,smcfa7@uwaterloo.ca
Lynda,Ho,lho5,lho5@uwaterloo.ca
Ruben,Henry,rhenr7,rhenr7@uwaterloo.ca
Lidia,Jennings,ljenn6,ljenn6@uwaterloo.ca
Colette,Payne,cpayn6,cpayn6@uwaterloo.ca
Dong,Mayer,dmaye10,dmaye10@uwaterloo.ca
Hilda,Meyer,hmeye1,hmeye1@uwaterloo.ca
Deborah,Guerrero,dguer9,dguer9@uwaterloo.ca
Robt,Nicholson,rnich4,rnich4@uwaterloo.ca
Johnathan,Crosby,jcros4,jcros4@uwaterloo.ca
Ray,Ryan,rryan7,rryan7@uwaterloo.ca
Sallie,Mccann,smcca9,smcca9@uwaterloo.ca
Debra,Gould,dgoul9,dgoul9@uwaterloo.ca
Brittany,Ramirez,brami4,brami4@uwaterloo.ca
Logan,Ward,lward2,lward2@uwaterloo.ca
Clark,Sellers,csell2,csell2@uwaterloo.ca
Ilene,Heath,iheat4,iheat4@uwaterloo.ca
Christian,Delacruz,cdela8,cdela8@uwaterloo.ca
Jed,Esparza,jespa1,jespa1@uwaterloo.ca
Tessa,Pacheco,tpach2,tpach2@uwaterloo.ca
Allison,Wilkins,awilk9,awilk9@uwaterloo.ca
