user_id,first_name,last_name,email,gpa
cfree10,Cassie,Freeman,cfree10@uwaterloo.ca,73.9
sgood4,Shaun,Goodman,sgood4@uwaterloo.ca,56.8
kbray5,Kristen,Bray,kbray5@uwaterloo.ca,81.5
mherm2,Mohammad,Herman,mherm2@uwaterloo.ca,58.3
jsala4,Janette,Salas,jsala4@uwaterloo.ca,88.2
wmitc5,Willy,Mitchell,wmitc5@uwaterloo.ca,78.1
rgrif8,Ruth,Griffin,rgrif8@uwaterloo.ca,86
dbest4,Dennis,Best,dbest4@uwaterloo.ca,66
hvanc2,Hung,Vance,hvanc2@uwaterloo.ca,78.1
ajone1,Aurelio,Jones,ajone1@uwaterloo.ca,73.2
mgile3,Mack,Giles,mgile3@uwaterloo.ca,91
wclem9,Wilford,Clements,wclem9@uwaterloo.ca,74.9
lmcco4,Laurence,Mccormick,lmcco4@uwaterloo.ca,72.4
nschm3,Neil,Schmidt,nschm3@uwaterloo.ca,81.3
mhale2,Mildred,Hale,mhale2@uwaterloo.ca,65.6
ccarl8,Claudio,Carlson,ccarl8@uwaterloo.ca,86.1
mhoga10,Micheal,Hogan,mhoga10@uwaterloo.ca,74.7
lflyn4,Laverne,Flynn,lflyn4@uwaterloo.ca,65.4
apitt4,Abdul,Pitts,apitt4@uwaterloo.ca,83.2
bhowe6,Bud,Howell,bhowe6@uwaterloo.ca,86.1
brhod3,Benjamin,Rhodes,brhod3@uwaterloo.ca,86.9
smcfa7,Shelia,Mcfarland,smcfa7@uwaterloo.ca,55
lho5,Lynda,Ho,lho5@uwaterloo.ca,76.7
rhenr7,Ruben,Henry,rhenr7@uwaterloo.ca,82
ljenn6,Lidia,Jennings,ljenn6@uwaterloo.ca,78.7
cpayn6,Colette,Payne,cpayn6@uwaterloo.ca,95.5
dmaye10,Dong,Mayer,dmaye10@uwaterloo.ca,69
hmeye1,Hilda,Meyer,hmeye1@uwaterloo.ca,48.1
dguer9,Deborah,Guerrero,dguer9@uwaterloo.ca,72.8
rnich4,Robt,Nicholson,rnich4@uwaterloo.ca,86.6
jcros4,Johnathan,Crosby,jcros4@uwaterloo.ca,73.1
rryan7,Ray,Ryan,rryan7@uwaterloo.ca,77.7
smcca9,Sallie,Mccann,smcca9@uwaterloo.ca,57.6
dgoul9,Debra,Gould,dgoul9@uwaterloo.ca,80.9
brami4,Brittany,Ramirez,brami4@uwaterloo.ca,79.4
lward2,Logan,Ward,lward2@uwaterloo.ca,80.9
csell2,Clark,Sellers,csell2@uwaterloo.ca,81.8
iheat4,Ilene,Heath,iheat4@uwaterloo.ca,70
cdela8,Christian,Delacruz,cdela8@uwaterloo.ca,63.9
jespa1,Jed,Esparza,jespa1@uwaterloo.ca,86.2
tpach2,Tessa,Pacheco,tpach2@uwaterloo.ca,91.1
awilk9,Allison,Wilkins,awilk9@uwaterloo.ca,75.5
mmort3,Mae,Morton,mmort3@uwaterloo.ca,73.7
bspen7,Beverly,Spence,bspen7@uwaterloo.ca,67.8
rbowe9,Rico,Bowen,rbowe9@uwaterloo.ca,64.2
lklei6,Lucas,Klein,lklei6@uwaterloo.ca,69.4
wengl4,Wanda,English,wengl4@uwaterloo.ca,88.6
jnels1,Johnie,Nelson,jnels1@uwaterloo.ca,82.7
jmart1,Johnathon,Martin,jmart1@uwaterloo.ca,72.8
vhowa6,Vern,Howard,vhowa6@uwaterloo.ca,75.4
sunde1,Sarah,Underwood,sunde1@uwaterloo.ca,65.3
cstev3,Chris,Stevenson,cstev3@uwaterloo.ca,89.2
rbart6,Rashad,Barton,rbart6@uwaterloo.ca,89.3
kobri1,Kimberley,Obrien,kobri1@uwaterloo.ca,66.6
wdoug6,Wes,Dougherty,wdoug6@uwaterloo.ca,76.1
rknig7,Rosario,Knight,rknig7@uwaterloo.ca,76.1
panth3,Philip,Anthony,panth3@uwaterloo.ca,81.6
hcoff10,Hannah,Coffey,hcoff10@uwaterloo.ca,75.6
dsava3,Daisy,Savage,dsava3@uwaterloo.ca,66.4
ehobb7,Ester,Hobbs,ehobb7@uwaterloo.ca,85.6
erobi2,Elias,Robinson,erobi2@uwaterloo.ca,83
kfigu4,Keneth,Figueroa,kfigu4@uwaterloo.ca,84.1
amedi4,Amanda,Medina,amedi4@uwaterloo.ca,81
wwilk6,Winston,Wilkerson,wwilk6@uwaterloo.ca,66
dhurs6,Daniel,Hurst,dhurs6@uwaterloo.ca,62.1
apere3,Alfonzo,Perez,apere3@uwaterloo.ca,75.1
phayn1,Percy,Haynes,phayn1@uwaterloo.ca,66.6
