user_id,first_name,last_name,email,gpa
cfree10,Cassie,Freeman,cfree10@uwaterloo.ca,73.9
sgood4,Shaun,Goodman,sgood4@uwaterloo.ca,56.8
kbray5,Kristen,Bray,kbray5@uwaterloo.ca,81.5
mherm2,Mohammad,Herman,mherm2@uwaterloo.ca,58.3
jsala4,Janette,Salas,jsala4@uwaterloo.ca,88.2
wmitc5,Willy,Mitchell,wmitc5@uwaterloo.ca,78.1
rgrif8,Ruth,Griffin,rgrif8@uwaterloo.ca,86
dbest4,Dennis,Best,dbest4@uwaterloo.ca,66
hvanc2,Hung,Vance,hvanc2@uwaterloo.ca,78.1
ajone1,Aurelio,Jones,ajone1@uwaterloo.ca,73.2
